湖南IPTV,#genre#
文物宝库,http://183.215.102.57:8089/180000001001/00000001000000000064000000308848/main.m3u8?IASHttpSessionId=OTT
国学频道,http://mail.petzhu.top:7000/rtp/239.254.200.107:6255
中学生频道,http://mail.petzhu.top:7000/rtp/239.254.200.113:6243
环球旅游,http://183.215.102.57:8089/180000001001/00000001000000000064000000308870/main.m3u8?IASHttpSessionId=OTT
车迷频道,http://183.215.102.57:8089/180000001001/00000001000000000064000000308873/main.m3u8?IASHttpSessionId=OTT
发现之旅,http://d9thrj.shenghuilianmeng.cn/migu.php?id=fxzl
老故事,http://183.215.102.57:8089/180000001001/00000001000000000050000000448839/main.m3u8?IASHttpSessionId=OTT
中华美食,http://183.215.102.57:8089/000000001000/1000000005000266015/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266015
湖南经视,http://39.134.240.3/PLTV/2/224/3221226036/index.m3u8
湖南都市,http://39.134.240.3/PLTV/2/224/3221226146/index.m3u8
湖南娱乐,http://39.134.240.3/PLTV/2/224/3221226144/index.m3u8
湖南爱晚,http://39.134.240.3/PLTV/2/224/3221226192/index.m3u8
湖南电视剧,http://39.134.240.3/PLTV/2/224/3221226138/index.m3u8
湖南电影,http://39.134.240.3/PLTV/2/224/3221226140/index.m3u8
湖南国际,http://39.134.240.3/PLTV/2/224/3221226194/index.m3u8
金鹰纪实,http://8221706.mygamesonline.org/TVOD/itvhnyd.php?id=00000001000000000016000000007228
金鹰卡通,http://39.134.240.3/PLTV/2/224/3221226142/index.m3u8
茶频道,http://183.215.102.57:8089/180000001001/00000001000000000025000000316196/index.m3u8?IASHttpSessionId=OTT
先锋乒羽,http://39.134.240.3/PLTV/2/224/3221226006/index.m3u8
湖南教育,http://183.215.102.57:8089/180000001001/00000001000000000023000000196697/main.m3u8?IASHttpSessionId=OTT
湖南教育,http://183.215.102.57:8089/180000001001/00000001000000000003000000104065/main.m3u8?IASHttpSessionId=OTTIASHttpSessionId=OTT
长沙新闻,http://39.134.240.3/PLTV/2/224/3221226200/index.m3u8
长沙政法,http://39.134.240.3/PLTV/2/224/3221226202/index.m3u8
怀化新闻综合,http://183.215.102.57:8089/180000001001/00000001000000000016000000287147/index.m3u8?IASHttpSessionId=OTT
靖州综合,http://l8221706.cloudns.org/jzzh.php?id=34
靖州综合,https://liveplay-srs.voc.com.cn/hls/tv/34_5156ed.m3u8
快乐购,http://39.134.240.3/PLTV/2/224/3221226196/index.m3u8
嘉丽购,http://39.134.240.3/PLTV/2/224/3221226176/index.m3u8
四海钓鱼,http://39.134.240.3/PLTV/2/224/3221226346/index.m3u8
快乐垂钓,http://39.134.240.3/PLTV/2/224/3221226348/index.m3u8

